127.0.0.1 - - [07/Nov/2016:12:22:13 +0800] "GET / HTTP/1.1" 404 951
127.0.0.1 - - [07/Nov/2016:12:22:17 +0800] "GET /JQueryTest/ HTTP/1.1" 200 666
127.0.0.1 - - [07/Nov/2016:12:22:17 +0800] "GET /JQueryTest/imooc.css HTTP/1.1" 404 991
127.0.0.1 - - [07/Nov/2016:12:22:17 +0800] "GET /JQueryTest/easyui/locale/easyui-lang-zh_CN.js HTTP/1.1" 304 -
127.0.0.1 - - [07/Nov/2016:12:22:17 +0800] "GET /JQueryTest/easyui/themes/default/easyui.css HTTP/1.1" 304 -
127.0.0.1 - - [07/Nov/2016:12:22:17 +0800] "GET /JQueryTest/easyui/themes/icon.css HTTP/1.1" 304 -
127.0.0.1 - - [07/Nov/2016:12:22:17 +0800] "GET /JQueryTest/js/index.js HTTP/1.1" 200 93
127.0.0.1 - - [07/Nov/2016:12:22:17 +0800] "GET /JQueryTest/easyui/jquery.easyui.min.js HTTP/1.1" 304 -
127.0.0.1 - - [07/Nov/2016:12:22:17 +0800] "GET /JQueryTest/js/jquery-1.9.1.js HTTP/1.1" 304 -
127.0.0.1 - - [07/Nov/2016:12:22:17 +0800] "GET /JQueryTest/easyui/themes/default/images/tabs_icons.png HTTP/1.1" 200 150
127.0.0.1 - - [07/Nov/2016:12:35:47 +0800] "GET /JQueryTest/ HTTP/1.1" 200 760
127.0.0.1 - - [07/Nov/2016:12:35:47 +0800] "GET /JQueryTest/imooc.css HTTP/1.1" 404 991
127.0.0.1 - - [07/Nov/2016:12:35:47 +0800] "GET /JQueryTest/js/jquery-1.9.1.js HTTP/1.1" 304 -
127.0.0.1 - - [07/Nov/2016:12:35:47 +0800] "GET /JQueryTest/easyui/jquery.easyui.min.js HTTP/1.1" 304 -
127.0.0.1 - - [07/Nov/2016:12:35:47 +0800] "GET /JQueryTest/easyui/locale/easyui-lang-zh_CN.js HTTP/1.1" 304 -
127.0.0.1 - - [07/Nov/2016:12:35:47 +0800] "GET /JQueryTest/js/index.js HTTP/1.1" 200 584
